"Response number","Vote for the class representative"
1,"Endorse (รับรอง)"
2,"Endorse (รับรอง)"
3,"Endorse (รับรอง)"
4,"Endorse (รับรอง)"
5,"Endorse (รับรอง)"
6,"Endorse (รับรอง)"
7,"Endorse (รับรอง)"
8,"Endorse (รับรอง)"
9,"No vote (ไม่ประสงค์ลงคะเเนน)"
10,"Endorse (รับรอง)"
11,"Endorse (รับรอง)"
12,"Endorse (รับรอง)"
13,"Endorse (รับรอง)"
14,"Endorse (รับรอง)"
15,"Endorse (รับรอง)"
16,"Endorse (รับรอง)"
17,"Endorse (รับรอง)"
18,"No vote (ไม่ประสงค์ลงคะเเนน)"
19,"Endorse (รับรอง)"
20,"Endorse (รับรอง)"
21,"Endorse (รับรอง)"
22,"Endorse (รับรอง)"
23,"Endorse (รับรอง)"
24,"No vote (ไม่ประสงค์ลงคะเเนน)"
25,"Endorse (รับรอง)"
26,"Endorse (รับรอง)"
27,"Endorse (รับรอง)"
28,"Endorse (รับรอง)"
29,"Endorse (รับรอง)"
30,"No vote (ไม่ประสงค์ลงคะเเนน)"
31,"Endorse (รับรอง)"
32,"Endorse (รับรอง)"
33,"Endorse (รับรอง)"
34,"Endorse (รับรอง)"
35,"Endorse (รับรอง)"
36,"Endorse (รับรอง)"
37,"Endorse (รับรอง)"
38,"Endorse (รับรอง)"
39,"Endorse (รับรอง)"
40,"Endorse (รับรอง)"
41,"Endorse (รับรอง)"
42,"Endorse (รับรอง)"
43,"Endorse (รับรอง)"
44,"No vote (ไม่ประสงค์ลงคะเเนน)"
45,"Endorse (รับรอง)"
46,"Endorse (รับรอง)"
47,"Endorse (รับรอง)"
48,"Endorse (รับรอง)"
49,"Endorse (รับรอง)"
50,"Endorse (รับรอง)"
51,"Endorse (รับรอง)"
52,"Endorse (รับรอง)"
53,"Endorse (รับรอง)"
54,"Endorse (รับรอง)"
55,"Endorse (รับรอง)"
56,"Endorse (รับรอง)"
57,"Endorse (รับรอง)"
58,"Endorse (รับรอง)"
59,"Endorse (รับรอง)"
60,"No vote (ไม่ประสงค์ลงคะเเนน)"
61,"Endorse (รับรอง)"
62,"Endorse (รับรอง)"
63,"Endorse (รับรอง)"
64,"Endorse (รับรอง)"
65,"No vote (ไม่ประสงค์ลงคะเเนน)"
66,"Endorse (รับรอง)"
67,"Not endorse (ไม่รับรอง)"
68,"Endorse (รับรอง)"
69,"Endorse (รับรอง)"
70,"Endorse (รับรอง)"
71,"Not endorse (ไม่รับรอง)"
72,"Endorse (รับรอง)"
73,"Endorse (รับรอง)"
74,"Endorse (รับรอง)"
75,"Endorse (รับรอง)"
76,"Endorse (รับรอง)"
77,"Endorse (รับรอง)"
78,"Endorse (รับรอง)"
79,"Endorse (รับรอง)"
80,"Endorse (รับรอง)"
81,"Not endorse (ไม่รับรอง)"
82,"Endorse (รับรอง)"
83,"Endorse (รับรอง)"
84,"Endorse (รับรอง)"
85,"Endorse (รับรอง)"
86,"Endorse (รับรอง)"
87,"Endorse (รับรอง)"
88,"Endorse (รับรอง)"
89,"Endorse (รับรอง)"
90,"Endorse (รับรอง)"
91,"Endorse (รับรอง)"
